name,year,nominations,rating,duration,genre1,genre2,release,metacritic,synopsis
 The Theory of Everything,2014,5,7.7,123,Biography,Drama,January,72,A look at the relationship between the famous physicist Stephen Hawking and his wife.
 Dallas Buyers Club,2013,6,8,117,Biography,Drama,November,84,In 1985 Dallas electrician and hustler Ron Woodroof works around the system to help AIDS patients get the medication they need after he is diagnosed with the disease.
 Lincoln,2012,12,7.4,150,Biography,Drama,November,86,As the Civil War continues to rage Americas president struggles with continuing carnage on the battlefield as he fights with many inside his own cabinet on the decision to emancipate the slaves.
 The Artist,2011,10,8,100,Comedy,Drama,October,89,A silent movie star meets a young dancer but the arrival of talking pictures sends their careers in opposite directions.
 The King's Speech,2010,12,8,118,Biography,Drama,December,88,The story of King George VI of the United Kingdom of Great Britain and Northern Ireland his impromptu ascension to the throne and the speech therapist who helped the unsure monarch become worthy of it.
 Crazy Heart,2009,3,7.3,112,Drama,Music,February,83,A faded country music musician is forced to reassess his dysfunctional life during a doomed romance that also inspires him.
 Milk,2008,8,7.6,128,Biography,Drama,January,84,The story of Harvey Milk and his struggles as an American gay activist who fought for gay rights and became Californias first openly gay elected official.
 There Will Be Blood,2007,8,8.1,158,Drama,,January,92,A story of family religion hatred oil and madness focusing on a turn-of-the-century prospector in the early days of the business.
 The Last King of Scotland,2006, ,7.7,121,Biography,Drama,January,74,Based on the events of the brutal Ugandan dictator Idi Amins regime as seen by his personal physician during the 1970s
 Capote,2005,5,7.4,114,Biography,Crime,February,88,In 1959 Truman Capote learns of the murder of a Kansas family and decides to write a book about the case. While researching for his novel In Cold Blood Capote forms a relationship with one of the killers Perry Smith who is on death row.
 Ray,2004,6,7.7,152,Biography,Drama,October,73,The story of the life and career of the legendary rhythm and blues musician Ray Charles from his humble beginnings in the South where he went blind at age seven to his meteoric rise to stardom during the 1950s and 1960s.
 Mystic River,2003,6,8,138,Crime,Drama,October,84,With a childhood tragedy that overshadowed their lives three men are reunited by circumstance when one has a family tragedy.
 The Pianist,2002,7,8.5,150,Biography,Drama,January,85,A Polish Jewish musician struggles to survive the destruction of the Warsaw ghetto of World War II.
 Training Day,2001,2,7.7,122,Crime,Drama,October,70,On his first day on the job as a Los Angeles narcotics officer a rookie cop goes on a 24-hour training course with a rogue detective who isnt what he appears.
 Gladiator,2000,12,8.5,155,Action,Drama,May,64,When a Roman general is betrayed and his family murdered by an emperors corrupt son he comes to Rome as a gladiator to seek revenge.
 American Beauty,1999,8,8.4,122,Drama,Romance,October,86,A sexually frustrated suburban father has a mid-life crisis after becoming infatuated with his daughters best friend.
 Life Is Beautiful,1998,7,8.6,116,Comedy,Drama,November,59,When an open-minded Jewish librarian and his son become victims of the Holocaust he uses a perfect mixture of will humor and imagination to protect his son from the dangers around their camp.
 As Good As It Gets,1997,7,7.7,139,Comedy,Drama,December,67,A single mother/waitress a misanthropic author and a gay artist form an unlikely friendship after the artist is in an accident.
 Shine,1996,7,7.7,105,Biography,Drama,December,87,Pianist David Helfgott driven by his father and teachers has a breakdown. Years later he returns to the piano to popular if not critical acclaim.
 Leaving Las Vegas,1995,4,7.6,111,Drama,Romance,February,82,Ben Sanderson an alcoholic Hollywood screenwriter who lost everything because of his drinking arrives in Las Vegas to drink himself to death. There he meets and forms an uneasy friendship and non-interference pact with prostitute Sera.
