name,year,nominations,rating,duration,genre1,genre2,release,metacritic,synopsis
 Birdman,2014,9,7.8,119,Comedy,Drama,November,88,Illustrated upon the progress of his latest Broadway play a former popular actors struggle to cope with his current life as a wasted actor is shown.
 Gravity,2013,10,7.9,91,Sci-Fi,Thriller,October,96,A medical engineer and an astronaut work together to survive after an accident leaves them adrift in space.
 Life of Pi,2012,11,8,127,Adventure,Drama,November,79,A young man who survives a disaster at sea is hurtled into an epic journey of adventure and discovery. While cast away he forms an unexpected connection with another survivor: a fearsome Bengal tiger.
 The Artist,2011,10,8,100,Comedy,Drama,October,89,A silent movie star meets a young dancer but the arrival of talking pictures sends their careers in opposite directions.
 The King's Speech,2010,12,8,118,Biography,Drama,December,88,The story of King George VI of the United Kingdom of Great Britain and Northern Ireland his impromptu ascension to the throne and the speech therapist who helped the unsure monarch become worthy of it.
 The Hurt Locker,2009,9,7.6,131,Drama,History,July,94,During the Iraq War a Sergeant recently assigned to an army bomb squad is put at odds with his squad mates due to his maverick way of handling his work.
 Slumdog Millionaire,2008,10,8,120,Drama,Romance,January,86,"A Mumbai teen reflects on his upbringing in the slums when he is accused of cheating on the Indian Version of ""Who Wants to be a Millionaire?"""
 No Country for Old Men,2007,8,8.1,122,Crime,Drama,November,91,Violence and mayhem ensue after a hunter stumbles upon a drug deal gone wrong and more than two million dollars in cash near the Rio Grande.
 The Departed,2006,5,8.5,151,Crime,Drama,October,86,An undercover cop and a mole in the police attempt to identify each other while infiltrating an Irish gang in South Boston.
 Brokeback Mountain,2005,8,7.7,134,Drama,Romance,January,87,The story of a forbidden and secretive relationship between two cowboys and their lives over the years.
 Million Dollar Baby,2004,7,8.1,132,Drama,Sport,January,86,A determined woman works with a hardened boxing trainer to become a professional.
 The Lord of the Rings: The Return of the King,2003,11,8.9,201,Adventure,Drama,December,94,Gandalf and Aragorn lead the World of Men against Saurons army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.
 The Pianist,2002,7,8.5,150,Biography,Drama,January,85,A Polish Jewish musician struggles to survive the destruction of the Warsaw ghetto of World War II.
