Hostname,Volume_Name,Avg_total_ops_All_Hrs,%_Of_total_ops_All_Hrs,Avg_total_ops_Biz_Hrs,%_Of_total_ops_Biz_Hrs,Avg_total_ops_After_Hrs,%_Of_total_ops_After_Hrs
prtntap01-04,prtntap01-04:prtntap01_04_tier02_aggr01:STANDARD_STORAGE_101,3785.0133649123363,34.170931747533416,2860.725147629372,27.311573454612255,4586.063153224241,39.539466495695756
prtntap01-03,prtntap01-03:prtntap01_03_tier02_aggr01:C1040VDI_STANDARD01,3563.6223692435087,21.51258582602642,4160.050753741258,25.928110373061298,3046.7177693454532,17.90439440417139
mtcntap01-03,mtcntap01-03:mtcntap01_03_tier02_aggr01:C1064_PRIMARY_001,2185.639262183734,9.446012923172757,1854.9172040718954,8.312166711024037,2468.323479452514,10.353150804976123
aus-mel-a700-01,aus-mel-a700-01:mtcntap01_05_ssd:C1027REP004_S003,2057.7906074199996,51.16137075391996,1938.562048688125,58.561071016741714,2199.0985288799993,45.19492107520053
prtntap01-03,prtntap01-03:prtntap01_03_tier03_aggr01:C1050FS001,1874.0851902977288,11.313325129374856,1777.8730866076912,11.08084789047419,1957.4690134957566,11.503296302729664
aus-mel-a700-02,aus-mel-a700-02:mtcntap01_06_ssd:C1050REPFS001,1850.4923563327588,92.06574547360225,1837.437939067742,92.69465169165366,1865.4807613407409,91.36472676887895
mtcntap01-03,mtcntap01-03:mtcntap01_03_tier03_aggr01:C1032REP003_S001,1586.1568205292174,6.855137571937559,1135.400554621569,5.087902938786824,1971.440109265922,8.269020217210699
prtntap01-03,prtntap01-03:prtntap01_03_tier02_aggr01:C1032FS003_M001,1546.6289033168841,9.336563635579775,1413.3955846713286,8.809189812695978,1662.097779476364,9.767512593867728
prtntap01-03,prtntap01-03:prtntap01_03_tier03_aggr01:C1032FS003_S001,1456.2402056003245,8.790912493047795,1257.000538051049,7.8344353516058405,1628.9145841430304,9.57250765352949
mtcntap01-04,mtcntap01-04:mtcntap01_04_tier02_aggr01:C1027REP004_M001,1393.0469423663765,7.301265724108872,1408.855475314986,7.053414082228398,1379.428748320283,7.534195177258494
prtntap01-04,prtntap01-04:prtntap01_04_tier02_aggr01:C1027UN004,1356.0391378243517,12.242260821357279,1740.2880167188814,16.614669899408693,1023.0234427824245,8.820157897688059
prtntap01-01,prtntap01-01:prtntap01_01_tier01_aggr01:FAST_STORAGE_101,1345.76978175,54.201044766000436,1246.5237762328663,54.00358747640582,1431.782986531515,54.35099028234053
