parent_aggr,Volume_Name,Avg_total_ops_All_Hrs,%_Of_total_ops_All_Hrs,Avg_total_ops_Biz_Hrs,%_Of_total_ops_Biz_Hrs,Avg_total_ops_After_Hrs,%_Of_total_ops_After_Hrs
prtntap01_04_tier02_aggr01,prtntap01-04:prtntap01_04_tier02_aggr01:STANDARD_STORAGE_101,3785.0133649123363,39.95733681960767,2860.725147629372,32.35864499464484,4586.063153224241,45.76758520701512
prtntap01_03_tier02_aggr01,prtntap01-03:prtntap01_03_tier02_aggr01:C1040VDI_STANDARD01,3563.6223692435087,35.244599658251744,4160.050753741258,41.391711582954095,3046.7177693454532,29.97646724935538
mtcntap01_03_tier02_aggr01,mtcntap01-03:mtcntap01_03_tier02_aggr01:C1064_PRIMARY_001,2185.639262183734,15.600299590559311,1854.9172040718954,13.592016912991758,2468.323479452514,17.236143626934837
mtcntap01_05_ssd,aus-mel-a700-01:mtcntap01_05_ssd:C1027REP004_S003,2057.7906074199996,52.69330965060079,1938.562048688125,60.4094847366267,2199.0985288799993,46.489316172358656
prtntap01_03_tier03_aggr01,prtntap01-03:prtntap01_03_tier03_aggr01:C1050FS001,1874.0851902977288,29.36196287351466,1777.8730866076912,30.001918180695927,1957.4690134957566,28.87710744278221
mtcntap01_06_ssd,aus-mel-a700-02:mtcntap01_06_ssd:C1050REPFS001,1850.4923563327588,96.39537358057851,1837.437939067742,96.6099201257063,1865.4807613407409,96.1538906162507
mtcntap01_03_tier03_aggr01,mtcntap01-03:mtcntap01_03_tier03_aggr01:C1032REP003_S001,1586.1568205292174,17.545227112855123,1135.400554621569,13.231345077463398,1971.440109265922,20.899552321680808
prtntap01_03_tier02_aggr01,prtntap01-03:prtntap01_03_tier02_aggr01:C1032FS003_M001,1546.6289033168841,15.29632235664074,1413.3955846713286,14.063016500633566,1662.097779476364,16.35327700944335
prtntap01_03_tier03_aggr01,prtntap01-03:prtntap01_03_tier03_aggr01:C1032FS003_S001,1456.2402056003245,22.815436071485777,1257.000538051049,21.212103147169145,1628.9145841430304,24.03018445610514
mtcntap01_04_tier02_aggr01,mtcntap01-04:mtcntap01_04_tier02_aggr01:C1027REP004_M001,1393.0469423663765,13.579473221416672,1408.855475314986,12.601140122978196,1379.428748320283,14.575068014431151
prtntap01_04_tier02_aggr01,prtntap01-04:prtntap01_04_tier02_aggr01:C1027UN004,1356.0391378243517,14.315329259576588,1740.2880167188814,19.684995662063738,1023.0234427824245,10.209478374365764
prtntap01_01_tier01_aggr01,prtntap01-01:prtntap01_01_tier01_aggr01:FAST_STORAGE_101,1345.76978175,75.80276450125612,1246.5237762328663,76.68542235089002,1431.782986531515,75.15010803429679
prtntap01_04_tier02_aggr01,prtntap01-04:prtntap01_04_tier02_aggr01:C1027UN005,1333.4969913463308,14.077358068296506,2084.5945609895116,23.579565276561258,682.5457643222427,6.811609518360694
prtntap01_03_tier02_aggr01,prtntap01-03:prtntap01_03_tier02_aggr01:STANDARD_STORAGE_103,1317.8533567983768,13.033708164342306,1154.2480206223775,11.484547663710698,1459.6446481509086,14.361353201544738
mtcntap01_04_tier03_aggr01,mtcntap01-04:mtcntap01_04_tier03_aggr01:C1050REPFS001,1247.610015464941,11.63818183028244,1304.4306190279276,11.660715727982929,1202.559394068572,11.618871733073483
mtcntap01_03_tier02_aggr01,mtcntap01-03:mtcntap01_03_tier02_aggr01:C1032REP003_M001,1234.8255217648498,8.813736289836555,1232.9171005949677,9.03427390010559,1236.4567420944131,8.634097666955011
mtcntap01_03_tier03_aggr01,mtcntap01-03:mtcntap01_03_tier03_aggr01:C1036_MGMT01,1222.9081726146392,13.527162856149161,1496.6446033058828,17.441088190470104,988.9323407947487,10.483830120884612
prtntap01_04_tier02_aggr01,prtntap01-04:prtntap01_04_tier02_aggr01:STANDARD_STORAGE_102,1201.6896834386366,12.685904858071067,1023.8299689251745,11.580892532364379,1355.8347693503028,13.53083925354298
mtcntap01_03_tier02_aggr01,mtcntap01-03:mtcntap01_03_tier02_aggr01:C1069REPFSS1_M001,1183.7382718126514,8.449094046122559,1199.1918636490198,8.78715020641311,1170.5293357737432,8.17373084155561
mtcntap01_01_tier01_aggr01,mtcntap01-01:mtcntap01_01_tier01_aggr01:DR_CLUSTER01,1101.8878706508438,42.746590369883975,1082.384327210325,41.615028265801485,1118.7617228409551,43.742163284101004
mtcntap01_04_tier02_aggr01,mtcntap01-04:mtcntap01_04_tier02_aggr01:C1026REPA005,1100.7500050761496,10.730151843996198,1385.8229365986012,12.39513159134496,855.1751303309035,9.035795218854561
prtntap01_02_tier01_aggr01,prtntap01-02:prtntap01_02_tier01_aggr01:FAST_STORAGE_301,1023.9143422039084,89.6178911441692,981.1120610160839,88.70378369809605,1061.2358434835369,90.36860001835588
mtcntap01_03_tier02_aggr01,mtcntap01-03:mtcntap01_03_tier02_aggr01:C1027REPA007,887.2477446212948,6.332852299382192,1029.724659582353,7.545369118386562,765.4658005484362,5.3451983054854395
mtcntap01_03_tier02_aggr01,mtcntap01-03:mtcntap01_03_tier02_aggr01:DR_CLUSTER02,886.7785805228921,6.329503576370644,904.3966512150324,6.627020630561457,871.7195592050284,6.08716144781754
prtntap01_03_tier02_aggr01,prtntap01-03:prtntap01_03_tier02_aggr01:C1032FS004_M001,840.0985182113644,8.308662613467511,661.4747552440555,6.581547656322179,994.9057794496977,9.78881628417964
mtcntap01_03_tier03_aggr01,mtcntap01-03:mtcntap01_03_tier03_aggr01:C1032REP004_S001,832.7693950490961,9.211654219597527,461.3600499300653,5.376440940364918,1150.2310140614534,12.19378318793996
mtcntap01_01_tier01_aggr01,mtcntap01-01:mtcntap01_01_tier01_aggr01:MTC_DR01_TIER1_1,828.7849489642473,32.151847444490016,787.6036219509092,30.28143161885027,864.4137375038762,33.79747990921378
mtcntap01_04_tier03_aggr01,mtcntap01-04:mtcntap01_04_tier03_aggr01:C1027REP004_S003,777.6924755529928,7.919377110920008,780.7923314715704,7.608554473419192,775.2409555128106,8.185732067548825
mtcntap01_03_tier03_aggr01,mtcntap01-03:mtcntap01_03_tier03_aggr01:C1069REPFSS1_S001,729.6140269533129,8.070604143258402,748.6151189117649,8.72395642948164,713.3728701396647,7.562580042009521
mtcntap01_04_tier02_aggr01,mtcntap01-04:mtcntap01_04_tier02_aggr01:C1027REPA006,728.7484701275083,7.10386709469707,928.1475110986014,8.301573189778077,556.9770071222889,5.885028691164259
mtcntap01_04_tier02_aggr01,mtcntap01-04:mtcntap01_04_tier02_aggr01:C1040REP003_M001,728.0073186333362,7.096642322464322,785.0918543075314,7.02204920155216,678.832086094723,7.1725515632877945
mtcntap01_03_tier02_aggr01,mtcntap01-03:mtcntap01_03_tier02_aggr01:MTC_DR01_TIER2_3,725.9137514137652,5.181308825705727,744.5060829464701,5.455412914937548,710.0219820031291,4.958037697231373
prtntap01_04_tier02_aggr01,prtntap01-04:prtntap01_04_tier02_aggr01:C1024UN001,712.8724522023698,7.525596856836854,399.58135587342656,4.519801999119637,984.3914023541207,9.823941772938856
mtcntap01_03_tier02_aggr01,mtcntap01-03:mtcntap01_03_tier02_aggr01:C1032REP004_M001,709.5871395093371,5.064775397058681,681.2504774901957,4.991903677265994,733.8078617938551,5.124132961397031
prtntap01_03_tier03_aggr01,prtntap01-03:prtntap01_03_tier03_aggr01:C1032FS004_S001,709.5655609737009,11.117017393603414,563.5319289069931,9.50969951153105,836.1280420981822,12.33478493969768
prtntap01_03_tier03_aggr01,prtntap01-03:prtntap01_03_tier03_aggr01:PRT_MGMT01,683.0056475402598,10.700893731672885,722.7385567083913,12.196339101894594,648.5704595945455,9.567885221579743
mtcntap01_04_tier03_aggr01,mtcntap01-04:mtcntap01_04_tier03_aggr01:C1026REP002_M001,661.7505760469428,3.86123775997844,515.890892025652,2.866739272204458,776.1178282909091,4.713458832769833
prtntap01_03_tier02_aggr01,prtntap01-03:prtntap01_03_tier02_aggr01:STANDARD_STORAGE_304,658.688904233474,6.51450247068953,551.3865054294404,5.486190567012456,751.6843165303031,7.395775389187294
prtntap01_01_tier01_aggr02,prtntap01-01:prtntap01_01_tier01_aggr02:FAST_STORAGE_102,651.9948547990259,100.0,630.005536141958,100.0,671.0522643018184,100.0
prtntap01_03_tier02_aggr01,prtntap01-03:prtntap01_03_tier02_aggr01:STANDARD_STORAGE_303,621.5784794409088,6.147476470333811,620.7517385342658,6.176361406869927,622.2949882266669,6.122721809582735
mtcntap01_03_tier02_aggr01,mtcntap01-03:mtcntap01_03_tier02_aggr01:C1027REPA009,621.0824411789156,4.43306099065332,577.5128712869933,4.231760154454312,658.3234701926818,4.597030324299321
mtcntap01_02_tier01_aggr01,mtcntap01-02:mtcntap01_02_tier01_aggr01:MTC_MGMT03,604.1533865483767,66.94895397348363,572.203783998601,69.26893826903593,631.8430420915154,65.2341474907379
mtcntap01_01_tier01_aggr01,mtcntap01-01:mtcntap01_01_tier01_aggr01:C1026REP002_M001,601.4712978746553,12.228977593954061,653.3844642522618,13.702381911392845,553.0190092555555,10.932644476364395
prtntap01_04_tier03_aggr01,prtntap01-04:prtntap01_04_tier03_aggr01:trader_oak,590.0438560748498,27.395189421949635,614.0832906185578,28.42566303136056,568.4912595873878,26.46602240570093
mtcntap01_04_tier03_aggr01,mtcntap01-04:mtcntap01_04_tier03_aggr01:C1040REP003_S001,562.4178821978963,6.458775129965661,502.53631080027986,5.787416383356624,614.0026093657226,7.0340862825683175
mtcntap01_03_tier02_aggr01,mtcntap01-03:mtcntap01_03_tier02_aggr01:C1026REPA006,557.0517268667468,3.976032997264639,678.0420606377776,4.968393810611965,453.6354080568716,3.167706790710311
mtcntap01_03_tier02_aggr01,mtcntap01-03:mtcntap01_03_tier02_aggr01:C1069REPFSS2_M001,554.0603817819277,3.9546818620112854,570.0640023555554,4.177178121209642,540.3813094480447,3.7734478241982803
mtcntap01_03_tier02_aggr01,mtcntap01-03:mtcntap01_03_tier02_aggr01:DR_CLUSTER03,542.8897194509941,3.874949729631203,466.2222848562747,3.416271716640207,608.4211020934079,4.2485653070342275
mtcntap01_05_ssd,aus-mel-a700-01:mtcntap01_05_ssd:C1036REP001_S001,535.3989602988571,8.132945329373873,446.44966932380953,9.129925783161951,668.8228967614285,7.331348662077184
mtcntap01_04_tier02_aggr01,mtcntap01-04:mtcntap01_04_tier02_aggr01:C1039REP001_M001,527.5293610925564,5.142375762512798,474.78789446713296,4.246616414317801,572.9632751132531,6.053939875267786
mtcntap01_04_tier03_aggr01,mtcntap01-04:mtcntap01_04_tier03_aggr01:C1036REP001_S002,506.3106460300968,5.814442805119378,515.16331726014,5.932834221805292,498.684549729518,5.712988995608309
mtcntap01_03_tier03_aggr01,mtcntap01-03:mtcntap01_03_tier03_aggr01:C1041REP001_S001,501.2394804706023,5.544445800669326,317.28015069705884,3.697411581326548,658.4784606681002,6.980635615939218
