,place_coord_boundaries
106,"[[8.4475987, 11.9296331], [8.6073347, 11.9296331], [8.6073347, 12.0803669], [8.4475987, 12.0803669]]"
109,"[[-1.838006, 51.050942], [-1.765956, 51.050942], [-1.765956, 51.093695], [-1.838006, 51.093695]]"
141,"[[-123.224215, 49.19854], [-123.022947, 49.19854], [-123.022947, 49.316738], [-123.224215, 49.316738]]"
163,"[[-88.048288, 41.6410191], [-87.91269, 41.6410191], [-87.91269, 41.708185], [-88.048288, 41.708185]]"
175,"[[-87.940033, 41.644102], [-87.523993, 41.644102], [-87.523993, 42.0230669], [-87.940033, 42.0230669]]"
207,"[[140.999474522999, -37.5050599967256], [159.109219005872, -37.5050599967256], [159.109219005872, -28.1570199141289], [140.999474522999, -28.1570199141289]]"
210,"[[140.999474522999, -37.5050599967256], [159.109219005872, -37.5050599967256], [159.109219005872, -28.1570199141289], [140.999474522999, -28.1570199141289]]"
255,"[[-79.639319, 43.403221], [-78.90582, 43.403221], [-78.90582, 43.855401], [-79.639319, 43.855401]]"
272,"[[12.2344266, 41.6558738], [12.8558641, 41.6558738], [12.8558641, 42.140959], [12.2344266, 42.140959]]"
276,"[[-74.026675, 40.683935], [-73.910408, 40.683935], [-73.910408, 40.877483], [-74.026675, 40.877483]]"
348,"[[10.8768902, 45.348487], [11.1240155, 45.348487], [11.1240155, 45.5402457], [10.8768902, 45.5402457]]"
363,"[[-79.639319, 43.403221], [-78.90582, 43.403221], [-78.90582, 43.855401], [-79.639319, 43.855401]]"
373,"[[-113.71368, 53.395531], [-113.271555, 53.395531], [-113.271555, 53.7161084], [-113.71368, 53.7161084]]"
387,"[[-80.64362, 28.286581], [-80.601732, 28.286581], [-80.601732, 28.372031], [-80.64362, 28.372031]]"
408,"[[-0.170246, 51.564585], [-0.034078, 51.564585], [-0.034078, 51.6112184], [-0.170246, 51.6112184]]"
444,"[[-79.639319, 43.403221], [-78.90582, 43.403221], [-78.90582, 43.855401], [-79.639319, 43.855401]]"
471,"[[-2.36259, 51.629523], [-2.3374, 51.629523], [-2.3374, 51.643011], [-2.36259, 51.643011]]"
491,"[[-99.1843501, 19.3998346], [-99.122382, 19.3998346], [-99.122382, 19.4658366], [-99.1843501, 19.4658366]]"
541,"[[-4.3932845, 55.796184], [-4.0902182, 55.796184], [-4.0902182, 55.9204214], [-4.3932845, 55.9204214]]"
571,"[[85.73406, 20.03944], [86.28391, 20.03944], [86.28391, 20.699481], [85.73406, 20.699481]]"
576,"[[-119.321696, 34.23444], [-119.136287, 34.23444], [-119.136287, 34.344939], [-119.321696, 34.344939]]"
611,"[[-6.36850399906372, 49.8824720005481], [-1.48573420014269, 49.8824720005481], [-1.48573420014269, 52.1125420344225], [-6.36850399906372, 52.1125420344225]]"
696,"[[8.3075007, 4.9112081], [8.372645, 4.9112081], [8.372645, 5.0414683], [8.3075007, 5.0414683]]"
697,"[[-117.312091, 32.999469], [-117.195721, 32.999469], [-117.195721, 33.090549], [-117.312091, 33.090549]]"
759,"[[2.6953821, 7.0555476], [4.5753821, 7.0555476], [4.5753821, 9.1962975], [2.6953821, 9.1962975]]"
