link,name,Crossing,Finishing,Heading Accuracy,Short Passing,Volleys,Dribbling,Curve,FK Accuracy,Long Passing,Ball Control,Acceleration,Sprint Speed,Agility,Reactions,Balance,Shot Power,Jumping,Stamina,Strength,Long Shots,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,Marking,Standing Tackle,Sliding Tackle,GK Diving,GK Handling,GK Kicking,GK Positioning,GK Reflexes
http://sofifa.com/player/158023/lionel-messi/19/159481/,Lionel Messi (Lionel Andres Messi Cuccittini),86,95,70,92,86,97,93,94,89,96,91,86,93,95,95,85,68,72,66,94,48,22,94,94,75,96,33,28,26,6,11,15,14,8
http://sofifa.com/player/211110/paulo-dybala/19/159481/,Paulo Dybala (Paulo Bruno Exequiel Dybala),82,82,68,87,88,92,88,88,77,92,87,83,91,86,85,82,75,80,65,88,48,32,84,87,86,84,23,20,20,5,4,4,5,8
http://sofifa.com/player/153079/sergio-aguero/19/159481/,Sergio Aguero (Sergio Leonel Aguero del Castillo),70,93,77,81,85,89,82,73,64,89,86,78,86,91,91,88,81,76,73,83,65,24,93,83,83,90,30,20,12,13,15,6,11,14
http://sofifa.com/player/201399/mauro-icardi/19/159481/,Mauro Icardi (Mauro Emanuel Icardi Rivero),46,91,91,73,85,77,58,45,54,81,77,78,76,88,76,84,94,69,76,70,56,22,92,64,82,85,45,24,20,13,9,5,7,9
http://sofifa.com/player/167664/gonzalo-higuain/19/159481/,Gonzalo Higuain (Gonzalo Gerardo Higuain),68,90,79,75,88,83,74,62,60,84,69,71,75,86,69,86,79,70,85,80,50,20,90,75,70,85,35,22,18,5,12,7,5,10
http://sofifa.com/player/183898/angel-di-maria/19/159481/,Angel Di Maria (Angel Fabian Di Maria Hernandez),85,74,51,83,77,86,88,86,79,86,85,84,92,82,77,83,72,78,60,80,73,38,82,84,73,84,38,59,56,10,7,11,12,11
http://sofifa.com/player/192366/nicolas-otamendi/19/159481/,Nicolas Otamendi (Nicolas Hernan Otamendi),52,54,84,75,57,51,50,39,72,70,57,61,64,78,62,69,92,67,80,56,91,83,51,53,45,80,83,84,84,12,5,8,11,12
http://sofifa.com/player/178562/ever-banega/19/159481/,Ever Banega (Ever Maximiliano David Banega),80,66,49,88,65,83,83,81,87,85,68,64,79,77,83,74,57,74,67,78,78,76,75,88,78,80,77,72,69,13,8,7,7,10
http://sofifa.com/player/143076/alejandro-gomez/19/159481/,Alejandro Gomez (Alejandro Dario Gomez),81,76,38,81,72,85,79,79,74,85,94,86,92,81,94,76,70,75,48,79,56,40,80,82,72,84,50,30,34,8,11,12,9,6
http://sofifa.com/player/211256/nicolas-tagliafico/19/159481/,Nicolas Tagliafico (Nicolas Alejandro Tagliafico),80,58,73,77,44,74,62,40,67,78,84,85,77,80,79,66,90,91,73,44,84,78,70,68,46,81,83,79,80,13,9,10,15,16
