Origin,mpg,cylinders,displacement,horsepower,weight,acceleration,model year,carname
3,24,4,113,95,2372,15,70,toyota corona mark ii
3,27,4,97,88,2130,14.5,70,datsun pl510
3,27,4,97,88,2130,14.5,71,datsun pl510
3,25,4,113,95,2228,14,71,toyota corona
3,31,4,71,65,1773,19,71,toyota corolla 1200
3,35,4,72,69,1613,18,71,datsun 1200
3,24,4,113,95,2278,15.5,72,toyota corona hardtop
3,19,3,70,97,2330,13.5,72,mazda rx2 coupe
3,28,4,97,92,2288,17,72,datsun 510 (sw)
3,23,4,120,97,2506,14.5,72,toyouta corona mark ii (sw)
3,27,4,97,88,2100,16.5,72,toyota corolla 1600 (sw)
3,20,4,97,88,2279,19,73,toyota carina
3,22,4,108,94,2379,16.5,73,datsun 610
3,18,3,70,90,2124,13.5,73,maxda rx3
3,20,6,156,122,2807,13.5,73,toyota mark ii
3,31,4,79,67,1950,19,74,datsun b210
3,32,4,71,65,1836,21,74,toyota corolla 1200
3,31,4,76,52,1649,16.5,74,toyota corona
3,32,4,83,61,2003,19,74,datsun 710
3,24,4,120,97,2489,15,74,honda civic
3,26,4,108,93,2391,15.5,74,subaru
3,29,4,97,75,2171,16,75,toyota corolla
3,24,4,134,96,2702,13.5,75,toyota corona
3,24,4,119,97,2545,17,75,datsun 710
3,33,4,91,53,1795,17.5,75,honda civic cvcc
3,33,4,91,53,1795,17.4,76,honda civic
3,32,4,85,70,1990,17,76,datsun b-210
3,28,4,97,75,2155,16.4,76,toyota corolla
3,19,6,156,108,2930,15.5,76,toyota mark ii
3,31.5,4,98,68,2045,18.5,77,honda accord cvcc
3,33.5,4,85,70,1945,16.8,77,datsun f-10 hatchback
3,26,4,97,75,2265,18.2,77,toyota corolla liftback
3,30,4,97,67,1985,16.4,77,subaru dl
3,22,6,146,97,2815,14.5,77,datsun 810
3,21.5,3,80,110,2720,13.5,77,mazda rx-4
3,32.8,4,78,52,1985,19.4,78,mazda glc deluxe
3,39.4,4,85,70,2070,18.6,78,datsun b210 gx
3,36.1,4,91,60,1800,16.4,78,honda civic cvcc
3,27.5,4,134,95,2560,14.2,78,toyota corona
3,27.2,4,119,97,2300,14.7,78,datsun 510
3,21.1,4,134,95,2515,14.8,78,toyota celica gt liftback
3,23.9,4,119,97,2405,14.9,78,datsun 200-sx
3,29.5,4,98,68,2135,16.6,78,honda accord lx
3,34.1,4,86,65,1975,15.2,79,maxda glc deluxe
3,31.8,4,85,65,2020,19.2,79,datsun 210
3,38.1,4,89,60,1968,18.8,80,toyota corolla tercel
3,37.2,4,86,65,2019,16.4,80,datsun 310
3,29.8,4,134,90,2711,15.5,80,toyota corona liftback
3,31.3,4,120,75,2542,17.5,80,mazda 626
3,37,4,119,92,2434,15,80,datsun 510 hatchback
3,32.2,4,108,75,2265,15.2,80,toyota corolla
3,46.6,4,86,65,2110,17.9,80,mazda glc
3,40.8,4,85,65,2110,19.2,80,datsun 210
3,44.6,4,91,67,1850,13.8,80,honda civic 1500 gl
3,33.8,4,97,67,2145,18,80,subaru dl
3,32.7,6,168,132,2910,11.4,80,datsun 280-zx
3,23.7,3,70,100,2420,12.5,80,mazda rx-7 gs
3,32.4,4,107,72,2290,17,80,honda accord
3,39.1,4,79,58,1755,16.9,81,toyota starlet
3,35.1,4,81,60,1760,16.1,81,honda civic 1300
3,32.3,4,97,67,2065,17.8,81,subaru
3,37,4,85,65,1975,19.4,81,datsun 210 mpg
3,37.7,4,89,62,2050,17.3,81,toyota tercel
3,34.1,4,91,68,1985,16,81,mazda glc 4
3,33.7,4,107,75,2210,14.4,81,honda prelude
3,32.4,4,108,75,2350,16.8,81,toyota corolla
3,32.9,4,119,100,2615,14.8,81,datsun 200sx
3,31.6,4,120,74,2635,18.3,81,mazda 626
3,25.4,6,168,116,2900,12.6,81,toyota cressida
3,24.2,6,146,120,2930,13.8,81,datsun 810 maxima
3,37,4,91,68,2025,18.2,82,mazda glc custom l
3,31,4,91,68,1970,17.6,82,mazda glc custom
3,36,4,120,88,2160,14.5,82,nissan stanza xe
3,36,4,107,75,2205,14.5,82,honda accord
3,34,4,108,70,2245,16.9,82,toyota corolla
3,38,4,91,67,1965,15,82,honda civic
3,32,4,91,67,1965,15.7,82,honda civic (auto)
3,38,4,91,67,1995,16.2,82,datsun 310 gx
3,32,4,144,96,2665,13.9,82,toyota celica gt
