city,max_checkins,locations,total_checkins,total_engagement,max_engagement,UHS,latitude,longitude
"New York, New York",49754619,301,110766165,276185192,13875482,0.989080076935046,40.71427,-74.00597
"Chesapeake, Virginia",608729,246,644824,259723,52924,0.9874136198404526,36.81904,-76.27494
"Sandy, Utah",237345,316,415747,270058,42552,0.9735897072017357,33.92427,-84.37854
"Miami Gardens, Florida",1399269,311,1937324,926834,285994,0.9607732108826402,25.94204,-80.2456
"Palm Coast, Florida",23387,300,121749,151823,20318,0.9604678477851974,29.58497,-81.20784
"Naperville, Illinois",493442,305,865802,299440,25586,0.9588635738887182,41.78586,-88.14729
"Troy, Michigan",251239,405,407291,159185,12783,0.9480175108215011,42.60559,-83.14993
"Port St. Lucie, Florida",511785,303,733935,353744,41353,0.9412413905863598,27.29393,-80.35033
"Baton Rouge, Louisiana",1586730,335,1969826,970259,121250,0.9385346726056008,30.45075,-91.15455
"Weston, Florida",40988,236,180856,510843,234672,0.9338147476445349,43.84049,-104.56783
"Arlington, Texas",3185444,354,6140248,1984396,305907,0.9323033857915837,38.88101,-77.10428
"Plantation, Florida",421764,268,876369,2325220,1530049,0.9301412989277348,26.13421,-80.23184
"West Valley City, Utah",208272,291,335530,235336,40775,0.9300002980359431,40.69161,-112.00105
"Camden, New Jersey",692493,211,1251142,2967766,2165005,0.9242923664939711,39.92595,-75.11962
"Las Vegas, Nevada",17676145,344,25388356,12879833,3368564,0.9216404559633558,36.17497,-115.13722
"Waco, Texas",736361,130,927252,956039,242521,0.9163420515674272,31.54933,-97.14667
"Plymouth, Minnesota",146580,376,369599,2136209,1324887,0.9124537674614921,42.08343,-71.01838
"Gastonia, North Carolina",562075,342,1161856,3061281,2602628,0.9081073730307371,35.26208,-81.1873
"McKinney, Texas",494616,280,1079735,8085430,7503090,0.9065502183406113,33.19762,-96.61527
"Palmdale, California",452656,295,604793,225673,31230,0.9055941454348844,34.57943,-118.11646
"Irvine, California",1066434,284,1629710,804714,303668,0.9041620901878248,33.66946,-117.82311
"Brooklyn Park, Minnesota",167165,376,348500,217244,47501,0.9041520803443328,45.09413,-93.35634
"Johns Creek, Georgia",174072,255,461418,235309,27942,0.903796557568192,34.02893,-84.19858
"Orem, Utah",283429,329,446662,1408714,182938,0.9033295870255361,40.2969,-111.69465
"Fresno, California",1599831,323,2704331,1290095,341913,0.9032814400308247,36.74773,-119.77237
"Olathe, Kansas",302469,293,501215,368953,24013,0.9001586145666032,38.8814,-94.81913
"Hialeah, Florida",439960,315,908716,1542846,853670,0.8996110996174822,25.8576,-80.27811
"Shreveport, Louisiana",629791,270,2599065,1131264,77511,0.8982868839371082,32.52515,-93.75018
"Toledo, Ohio",845629,354,1675846,1434442,486784,0.8952218759957657,41.66394,-83.55521
"Rochester Hills, Michigan",181557,282,374356,309246,68998,0.8941301862398359,42.65837,-83.14993
"Chandler, Arizona",789847,287,2459720,553995,42084,0.8929922918055714,33.30616,-111.84125
"Farmington Hills, Michigan",185020,359,335453,213023,15707,0.8917463847394419,42.48531,-83.37716
"Clarksville, Tennessee",654359,306,1310626,856810,119198,0.8914396631838526,36.52977,-87.35945
"Union City, California",220110,289,546577,461318,182825,0.8908461204917149,54.68916,25.2798
"Suffolk, Virginia",220264,363,388993,232245,12357,0.8900185864527125,42.35843,-71.05977
"Gary, Indiana",228236,352,533586,210782,32618,0.8897478569527686,41.59337,-87.34643
"Moreno Valley, California",498497,294,926521,222292,28551,0.8897434596733371,33.93752,-117.23059
"Hampton, Virginia",472666,299,886286,490673,44042,0.8884039689219958,37.02987,-76.34522
"Flower Mound, Texas",7054,132,46647,46598,4479,0.8879670718374172,33.01457,-97.09696
"Perris, California",257877,306,443131,227197,46740,0.8864511848640696,33.78252,-117.22865
"Cranston, Rhode Island",235978,316,982109,494875,81755,0.8862081500118623,41.77982,-71.43728
"Gilbert, Arizona",616291,278,2059428,664346,104065,0.885680878379822,33.35283,-111.78903
"Lincoln, Nebraska",939057,311,1940304,1630389,251884,0.8853092092785461,40.8,-96.66696
"Los Angeles, California",24298676,364,33860544,70722835,14617440,0.8846581732413986,34.05223,-118.24368
"Lake Charles, Louisiana",493994,318,1156617,834124,89645,0.8843497890831623,30.21309,-93.2044
"Des Moines, Iowa",958430,341,2655943,1791594,137789,0.8828506485267191,41.60054,-93.60911
"Lynchburg, Virginia",395713,327,707517,526568,48966,0.881233949148925,37.41375,-79.14225
"Miami, Florida",9671632,302,14259391,66449724,48846456,0.8806798971989758,25.77427,-80.19366
"Orlando, Florida",9070488,272,15657047,12713196,3447801,0.8806596799511428,28.53834,-81.37924
"West Jordan, Utah",62141,267,182627,358081,48391,0.8791416384214821,40.60967,-111.9391
"Washington, District of Columbia",11855739,377,36994692,267719870,57920498,0.8786965978795012,38.89511,-77.03637
"Mesa, Arizona",1270355,329,2219123,2434241,1158994,0.8771023507935342,33.42227,-111.82264
"Missouri City, Texas",93405,303,220625,380332,182157,0.8766549575070821,39.09973,-94.57857
"Provo, Utah",634641,359,1331323,2728481,964444,0.8763072522595944,40.23384,-111.65853
"Tyler, Texas",531015,353,1200809,1003321,291768,0.8761859712910213,32.35126,-95.30106
"Livonia, Michigan",230603,312,612434,310522,17229,0.8757857989595613,42.36837,-83.35271
"Citrus Heights, California",155778,340,582479,287133,63581,0.8757328590386949,38.70712,-121.28106
"Muncie, Indiana",278839,293,918091,635614,83904,0.8755341246129197,40.19338,-85.38636
"Pompano Beach, Florida",599382,274,932155,1173553,202629,0.875266452467669,26.23786,-80.12477
"Southfield, Michigan",226213,338,553981,724065,77454,0.8750661123756952,42.47337,-83.22187
"Huntington Beach, California",2174013,332,4881502,1155857,147534,0.8739488378781777,33.6603,-117.99923
"Brockton, Massachusetts",221449,325,425508,312254,30220,0.87207291049757,42.08343,-71.01838
"Riverside, California",1223303,293,2326019,503571,106579,0.8710999351252074,33.95335,-117.39616
"Jacksonville, Florida",3715135,315,7967187,3529485,633530,0.8707256400533839,30.33218,-81.65565
"Overland Park, Kansas",481238,277,853794,462448,33453,0.8686369311566958,38.98223,-94.67079
"Newport News, Virginia",550428,345,1381249,762316,49934,0.8684560133618197,37.08339,-76.46965
"League City, Texas",223024,320,641523,511820,41185,0.8683897537578543,29.50745,-95.09493
"Sparks, Nevada",253961,385,1176866,756636,114989,0.8678022816531363,39.53491,-119.75269
"Pearland, Texas",359915,359,769957,891427,459711,0.8677549525492982,29.56357,-95.28605
"Franklin, Tennessee",479495,301,1250014,1615410,169355,0.8675838830605097,38.20091,-84.87328
"Killeen, Texas",584892,345,1041711,510402,33406,0.8671330148188893,31.11712,-97.7278
"Rockford, Illinois",487917,338,1354062,1175023,169352,0.8667535164564104,42.27113,-89.094
"Baytown, Texas",315053,379,625633,298580,24311,0.8667413643461902,29.7355,-94.97743
"Colorado Springs, Colorado",2545331,326,3848911,2310974,347624,0.8663887005960906,38.83388,-104.82136
"Warwick, Rhode Island",85777,292,336266,197064,49912,0.866290377260859,41.7001,-71.41617
"Corona, California",750558,302,1330245,2137195,572408,0.865312780728362,33.87529,-117.56644
"Albany, Georgia",324749,323,625118,421564,100072,0.864451191615023,42.65258,-73.75623
"Topeka, Kansas",444512,265,858187,670779,48672,0.8641100366237195,39.04833,-95.67804
"Jersey City, New Jersey",1481481,305,2349711,3539270,1104410,0.8636006725933529,40.72816,-74.07764
"Inglewood, California",941227,338,1928048,2364161,880714,0.8633550616997088,33.96168,-118.35313
"Abilene, Texas",499551,308,915780,1050233,144046,0.8632575509401822,32.44874,-99.73314
"Independence, Missouri",268382,343,565471,394527,26915,0.8630451428985748,39.09112,-94.41551
"Atlanta, Georgia",8906494,326,23864876,15976869,2206298,0.8626463007811145,33.749,-84.38798
"Sterling Heights, Michigan",49463,372,370822,240503,46335,0.8623598384130391,42.58031,-83.0302
"Anchorage, Alaska",1508553,289,3053340,1631288,291739,0.8622701697157866,61.21806,-149.90028
"Garland, Texas",503099,364,864777,692009,279490,0.8616660711374147,32.91262,-96.63888
"Memphis, Tennessee",3133995,330,8227842,5734027,2284818,0.8600616054610675,35.14953,-90.04898
"Durham, North Carolina",1016828,320,2631029,2650183,1217214,0.8599699965298748,35.99403,-78.89862
"Mesquite, Texas",373201,332,689381,388745,106205,0.8597945113079705,32.7668,-96.59916
"Coral Springs, Florida",388717,289,870838,555709,55870,0.8584042037669464,26.27119,-80.2706
