,city,max_checkins,locations,total_checkins,UHS,latitude,longitude,text,city_without_state,city_y,population,text2
0,"New York, New York",49754619,301,110766165,98.90800769350459,40.71427,-74.00596999999999,UHS : 98.90800769350459<br>Checkins :110.766165 million<br>Locations : 301,New York,New York,8.405837,"City : New York, New York<br>UHS : 98.90800769350459<br>Population :8.405837 million"
1,"Chesapeake, Virginia",608729,246,644824,98.74136198404526,36.81904,-76.27494,UHS : 98.74136198404526<br>Checkins :0.644824 million<br>Locations : 246,Chesapeake,Chesapeake,0.230571,"City : Chesapeake, Virginia<br>UHS : 98.74136198404526<br>Population :0.230571 million"
2,"Sandy, Utah",237345,316,415747,97.35897072017356,33.92427,-84.37854,UHS : 97.35897072017356<br>Checkins :0.415747 million<br>Locations : 316,Sandy,Sandy,0.090231,"City : Sandy, Utah<br>UHS : 97.35897072017356<br>Population :0.090231 million"
3,"Miami Gardens, Florida",1399269,311,1937324,96.07732108826403,25.94204,-80.2456,UHS : 96.07732108826403<br>Checkins :1.937324 million<br>Locations : 311,Miami Gardens,Miami Gardens,0.111378,"City : Miami Gardens, Florida<br>UHS : 96.07732108826403<br>Population :0.111378 million"
4,"Palm Coast, Florida",23387,300,121749,96.04678477851975,29.584970000000002,-81.20784,UHS : 96.04678477851975<br>Checkins :0.121749 million<br>Locations : 300,Palm Coast,Palm Coast,0.07874,"City : Palm Coast, Florida<br>UHS : 96.04678477851975<br>Population :0.07874 million"
5,"Naperville, Illinois",493442,305,865802,95.88635738887183,41.78586,-88.14729,UHS : 95.88635738887183<br>Checkins :0.865802 million<br>Locations : 305,Naperville,Naperville,0.144864,"City : Naperville, Illinois<br>UHS : 95.88635738887183<br>Population :0.144864 million"
6,"Troy, Michigan",251239,405,407291,94.80175108215012,42.60559,-83.14993,UHS : 94.80175108215012<br>Checkins :0.407291 million<br>Locations : 405,Troy,Troy,0.082821,"City : Troy, Michigan<br>UHS : 94.80175108215012<br>Population :0.082821 million"
8,"Port St. Lucie, Florida",511785,303,733935,94.12413905863598,27.29393,-80.35033,UHS : 94.12413905863598<br>Checkins :0.733935 million<br>Locations : 303,Port St. Lucie,Port St. Lucie,0.171016,"City : Port St. Lucie, Florida<br>UHS : 94.12413905863598<br>Population :0.171016 million"
9,"Baton Rouge, Louisiana",1586730,335,1969826,93.85346726056008,30.45075,-91.15455,UHS : 93.85346726056008<br>Checkins :1.969826 million<br>Locations : 335,Baton Rouge,Baton Rouge,0.229426,"City : Baton Rouge, Louisiana<br>UHS : 93.85346726056008<br>Population :0.229426 million"
10,"Weston, Florida",40988,236,180856,93.38147476445347,43.84049,-104.56783,UHS : 93.38147476445347<br>Checkins :0.180856 million<br>Locations : 236,Weston,Weston,0.068388,"City : Weston, Florida<br>UHS : 93.38147476445347<br>Population :0.068388 million"
11,"Arlington, Texas",3185444,354,6140248,93.23033857915836,38.881009999999996,-77.10428,UHS : 93.23033857915836<br>Checkins :6.140248 million<br>Locations : 354,Arlington,Arlington,0.379577,"City : Arlington, Texas<br>UHS : 93.23033857915836<br>Population :0.379577 million"
12,"Plantation, Florida",421764,268,876369,93.01412989277348,26.13421,-80.23184,UHS : 93.01412989277348<br>Checkins :0.876369 million<br>Locations : 268,Plantation,Plantation,0.090268,"City : Plantation, Florida<br>UHS : 93.01412989277348<br>Population :0.090268 million"
13,"West Valley City, Utah",208272,291,335530,93.00002980359432,40.69161,-112.00105,UHS : 93.00002980359432<br>Checkins :0.33553 million<br>Locations : 291,West Valley City,West Valley City,0.133579,"City : West Valley City, Utah<br>UHS : 93.00002980359432<br>Population :0.133579 million"
14,"Camden, New Jersey",692493,211,1251142,92.42923664939711,39.92595,-75.11962,UHS : 92.42923664939711<br>Checkins :1.251142 million<br>Locations : 211,Camden,Camden,0.076903,"City : Camden, New Jersey<br>UHS : 92.42923664939711<br>Population :0.076903 million"
15,"Las Vegas, Nevada",17676145,344,25388356,92.16404559633557,36.17497,-115.13722,UHS : 92.16404559633557<br>Checkins :25.388356 million<br>Locations : 344,Las Vegas,Las Vegas,0.603488,"City : Las Vegas, Nevada<br>UHS : 92.16404559633557<br>Population :0.603488 million"
16,"Waco, Texas",736361,130,927252,91.63420515674272,31.549329999999998,-97.14667,UHS : 91.63420515674272<br>Checkins :0.927252 million<br>Locations : 130,Waco,Waco,0.12903,"City : Waco, Texas<br>UHS : 91.63420515674272<br>Population :0.12903 million"
17,"Plymouth, Minnesota",146580,376,369599,91.2453767461492,42.08343,-71.01838000000001,UHS : 91.2453767461492<br>Checkins :0.369599 million<br>Locations : 376,Plymouth,Plymouth,0.073987,"City : Plymouth, Minnesota<br>UHS : 91.2453767461492<br>Population :0.073987 million"
18,"Gastonia, North Carolina",562075,342,1161856,90.81073730307372,35.26208,-81.1873,UHS : 90.81073730307372<br>Checkins :1.161856 million<br>Locations : 342,Gastonia,Gastonia,0.073209,"City : Gastonia, North Carolina<br>UHS : 90.81073730307372<br>Population :0.073209 million"
19,"McKinney, Texas",494616,280,1079735,90.65502183406112,33.19762,-96.61527,UHS : 90.65502183406112<br>Checkins :1.079735 million<br>Locations : 280,McKinney,McKinney,0.148559,"City : McKinney, Texas<br>UHS : 90.65502183406112<br>Population :0.148559 million"
20,"Palmdale, California",452656,295,604793,90.55941454348843,34.57943,-118.11646,UHS : 90.55941454348843<br>Checkins :0.604793 million<br>Locations : 295,Palmdale,Palmdale,0.157161,"City : Palmdale, California<br>UHS : 90.55941454348843<br>Population :0.157161 million"
21,"Irvine, California",1066434,284,1629710,90.41620901878248,33.66946,-117.82311000000001,UHS : 90.41620901878248<br>Checkins :1.62971 million<br>Locations : 284,Irvine,Irvine,0.236716,"City : Irvine, California<br>UHS : 90.41620901878248<br>Population :0.236716 million"
22,"Brooklyn Park, Minnesota",167165,376,348500,90.41520803443328,45.09413,-93.35634,UHS : 90.41520803443328<br>Checkins :0.3485 million<br>Locations : 376,Brooklyn Park,Brooklyn Park,0.078373,"City : Brooklyn Park, Minnesota<br>UHS : 90.41520803443328<br>Population :0.078373 million"
