Date of submission,PAC WellBore ID,PAC String Type,WELL STATUS,WELL STATUS L1,HEALTHY/UNHEALTHY,UNHEALTHY CATEGORY,ISSUE,WFAM Score,Age,Age Factors,Score,Shallow Gas,Score2,Metal Loss Above Top Packer,Score3,Cement,Score4,Casing Thread,Score5,Corrosive Fluid,Score6,Final Score,WIRE,,,,
November,Peninsular,ABU-A001-TS,ABANDON,PA-SWAP1,Healthy,Intact,,2,9,Below 10 years,1,Proven,1.15,Below 30%,1,Fit for purpose,1,Fit for purpose,1,No,1,2.3,Low,,,,
November,Peninsular,ABU-A002-TS,ABANDON,PA-SWAP1,Healthy,P3-Within Limit,High Annulus Pressure,3,11,10-30 years,1.05,Proven,1.15,Unknown,1.05,Unknown Cement Quality,1.05,Fit for purpose,1,No,1,3.99380625,Medium,,,Low,1-3.49
November,Peninsular,ABU-A003-TS,ABANDON,PA-SWAP1,Healthy,P3-Within Limit,High Annulus Pressure,3,11,10-30 years,1.05,Proven,1.15,Unknown,1.05,Unknown Cement Quality,1.05,Fit for purpose,1,No,1,3.99380625,Medium,,,Medium,3.5-4.49
November,Peninsular,ABU-A004-LS,ABANDON,PA-SWAP1,Healthy,Intact,,2,11,10-30 years,1.05,Proven,1.15,Unknown,1.05,Unknown Cement Quality,1.05,Fit for purpose,1,No,1,2.6625375,Low,,,High,4.5-5.49
November,Peninsular,ABU-A004-SS,ABANDON,PA-SWAP1,Healthy,Intact,,2,11,10-30 years,1.05,Proven,1.15,Unknown,1.05,Unknown Cement Quality,1.05,Fit for purpose,1,No,1,2.6625375,Low,,,Serious,5.5 and above
November,Peninsular,ABU-A005-TS,ABANDON,PA-SWAP1,Healthy,Intact,,2,11,10-30 years,1.05,Proven,1.15,Below 30%,1,Unknown Cement Quality,1.05,Fit for purpose,1,No,1,2.53575,Low,,,,
November,Peninsular,ABU-A007-TS,ABANDON,PA-SWAP1,Healthy,P3-Within Limit,High Annulus Pressure,3,7,Below 10 years,1,Proven,1.15,Unknown,1.05,Fit for purpose,1,Fit for purpose,1,No,1,3.6225,Medium,,,,
November,Peninsular,ABU-A008S01-TS,ABANDON,PA-SWAP1,Healthy,Intact,,2,7,Below 10 years,1,Proven,1.15,Unknown,1.05,Fit for purpose,1,Fit for purpose,1,No,1,2.415,Low,,,,
November,Peninsular,ABUK-A002-TS,ABANDON,PA-SWAP1,Healthy,P3-Within Limit,High Annulus Pressure,3,10,10-30 years,1.05,Proven,1.15,Unknown,1.05,Fit for purpose,1,Fit for purpose,1,No,1,3.803625,Medium,,,,
November,Peninsular,ANSI-A001-LS,ACTIVE,Flowing,Healthy,Intact,,2,16,10-30 years,1.05,No risk,1,Above 50%,1.15,Unknown Cement Quality,1.05,Fit for purpose,1,No,1,2.53575,Low,,,,
November,Peninsular,ANSI-A001-SS,ACTIVE,Flowing,Healthy,Intact,,2,16,10-30 years,1.05,No risk,1,Unknown,1.05,Unknown Cement Quality,1.05,Fit for purpose,1,No,1,2.31525,Low,,,,
November,Peninsular,ANSI-A002-LS,Active,Flowing,Healthy,Intact,,2,16,10-30 years,1.05,No risk,1,Unknown,1.05,Unknown Cement Quality,1.05,Fit for purpose,1,No,1,2.31525,Low,,,,
November,Peninsular,ANSI-A002-SS,IDLE,EI-RMD,Healthy,Intact,,2,16,10-30 years,1.05,No risk,1,Unknown,1.05,Unknown Cement Quality,1.05,Fit for purpose,1,No,1,2.31525,Low,,,,
November,Peninsular,ANSI-A003R01-LS,Idle,Flowing,Unhealthy,P2 - Exceed Limit,SCSSV Issue,4,16,10-30 years,1.05,No risk,1,Unknown,1.05,Unknown Cement Quality,1.05,Fit for purpose,1,No,1,4.6305,High,,,,
November,Peninsular,ANSI-A003R01-SS,Idle,Flowing,Healthy,Intact,,2,16,10-30 years,1.05,No risk,1,Unknown,1.05,Unknown Cement Quality,1.05,Fit for purpose,1,No,1,2.31525,Low,,,,
November,Peninsular,ANSI-A004-LS,ACTIVE,Flowing,Healthy,Intact,,2,16,10-30 years,1.05,No risk,1,Unknown,1.05,Unknown Cement Quality,1.05,Fit for purpose,1,No,1,2.31525,Low,,,,
November,Peninsular,ANSI-A004-SS,IDLE,EI-RMD,Healthy,P3-Within Limit,,3,16,10-30 years,1.05,No risk,1,Unknown,1.05,Unknown Cement Quality,1.05,Fit for purpose,1,No,1,3.472875,Low,,,,
November,Peninsular,ANSI-A005-LS,ACTIVE,Flowing,Healthy,Intact,,2,16,10-30 years,1.05,No risk,1,Unknown,1.05,Unknown Cement Quality,1.05,Fit for purpose,1,No,1,2.31525,Low,,,,
November,Peninsular,ANSI-A005-SS,ACTIVE,Flowing,Healthy,P3-Within Limit,Wellhead/Xmas Tree Passing,3,16,10-30 years,1.05,No risk,1,Unknown,1.05,Unknown Cement Quality,1.05,Fit for purpose,1,No,1,3.472875,Low,,,,
November,Peninsular,ANSI-A006-LS,ACTIVE,Flowing,Healthy,Intact,,2,16,10-30 years,1.05,No risk,1,Below 30%,1,Unknown Cement Quality,1.05,Fit for purpose,1,No,1,2.205,Low,,,,
November,Peninsular,ANSI-A006-SS,IDLE,EI-RMD,Unhealthy,P2 - Exceed Limit,SCSSV Issue,4,16,10-30 years,1.05,No risk,1,Unknown,1.05,Unknown Cement Quality,1.05,Fit for purpose,1,No,1,4.6305,High,,,,
November,Peninsular,ANSI-A007-LS,ACTIVE,Flowing,Healthy,Intact,Wellhead/Xmas Tree Passing,2,16,10-30 years,1.05,No risk,1,Unknown,1.05,Unknown Cement Quality,1.05,Fit for purpose,1,No,1,2.31525,Low,,,,
November,Peninsular,ANSI-A007-SS,ACTIVE,Flowing,Healthy,P3-Within Limit,,3,16,10-30 years,1.05,No risk,1,Unknown,1.05,Unknown Cement Quality,1.05,Fit for purpose,1,No,1,3.472875,Low,,,,
November,Peninsular,ANSI-A008R01-LS,IDLE,EI-RMD,Healthy,Intact,,2,16,10-30 years,1.05,No risk,1,Unknown,1.05,Unknown Cement Quality,1.05,Fit for purpose,1,No,1,2.31525,Low,,,,
November,Peninsular,ANSI-A008R01-SS,IDLE,EI-RMD,Healthy,P3-Within Limit,,3,16,10-30 years,1.05,No risk,1,Below 30%,1,Unknown Cement Quality,1.05,Fit for purpose,1,No,1,3.3075,Low,,,,
November,Peninsular,ANSI-A009R01-LS,Active,Flowing,Unhealthy,P2 - Exceed Limit,SCSSV Issue,4,16,10-30 years,1.05,No risk,1,Unknown,1.05,Unknown Cement Quality,1.05,Fit for purpose,1,No,1,4.6305,High,,,,
November,Peninsular,ANSI-A009R01-SS,IDLE,EI-MECH,Healthy,Intact,,2,16,10-30 years,1.05,No risk,1,Unknown,1.05,Unknown Cement Quality,1.05,Fit for purpose,1,No,1,2.31525,Low,,,,
November,Peninsular,ANSI-A010-LS,ACTIVE,Flowing,Healthy,Intact,,2,16,10-30 years,1.05,No risk,1,Unknown,1.05,Unknown Cement Quality,1.05,Fit for purpose,1,No,1,2.31525,Low,,,,
November,Peninsular,ANSI-A010-SS,ACTIVE,Flowing,Unhealthy,P2 - Exceed Limit,Combination SCSSV & Xmas Tree,4,16,10-30 years,1.05,No risk,1,Unknown,1.05,Unknown Cement Quality,1.05,Fit for purpose,1,No,1,4.6305,High,,,,
November,Peninsular,ANSI-A011-LS,ACTIVE,Flowing,Healthy,P3-Within Limit,,3,16,10-30 years,1.05,No risk,1,Below 30%,1,Unknown Cement Quality,1.05,Fit for purpose,1,No,1,3.3075,Low,,,,
November,Peninsular,ANSI-A011-SS,ACTIVE,Flowing,Healthy,Intact,,2,16,10-30 years,1.05,No risk,1,Unknown,1.05,Unknown Cement Quality,1.05,Fit for purpose,1,No,1,2.31525,Low,,,,
November,Peninsular,ANSI-A012-LS,ACTIVE,Flowing,Unhealthy,P2 - Exceed Limit,SCSSV Issue,4,16,10-30 years,1.05,No risk,1,Unknown,1.05,Unknown Cement Quality,1.05,Fit for purpose,1,No,1,4.6305,High,,,,
November,Peninsular,ANSI-A012-SS,Active,Flowing,Healthy,Intact,SCSSV Issue,2,16,10-30 years,1.05,No risk,1,Unknown,1.05,Unknown Cement Quality,1.05,Fit for purpose,1,No,1,2.31525,Low,,,,
November,Peninsular,ANSI-A013-LS,IDLE,EI-RMD,Healthy,P3-Within Limit,Wellhead/Xmas Tree Passing,3,16,10-30 years,1.05,No risk,1,Below 30%,1,Unknown Cement Quality,1.05,Fit for purpose,1,No,1,3.3075,Low,,,,
November,Peninsular,ANSI-A013-SS,Idle,NE-RM,Healthy,Intact,,2,17,10-30 years,1.05,No risk,1,Unknown,1.05,Unknown Cement Quality,1.05,Fit for purpose,1,No,1,2.31525,Low,,,,
November,Peninsular,ANSI-A014-LS,IDLE,EI-RMD,Healthy,P3-Within Limit,SCSSV Issue,3,17,10-30 years,1.05,No risk,1,Unknown,1.05,Unknown Cement Quality,1.05,Fit for purpose,1,No,1,3.472875,Low,,,,
November,Peninsular,ANSI-A014-SS,ACTIVE,Flowing,Healthy,Intact,SCSSV Issue,2,16,10-30 years,1.05,No risk,1,Unknown,1.05,Unknown Cement Quality,1.05,Fit for purpose,1,No,1,2.31525,Low,,,,
November,Peninsular,ANSI-A015-LS,IDLE,EI-RMD,Healthy,P3-Within Limit,Wellhead/Xmas Tree Passing,3,16,10-30 years,1.05,No risk,1,Unknown,1.05,Unknown Cement Quality,1.05,Fit for purpose,1,No,1,3.472875,Low,,,,
November,Peninsular,ANSI-A015-SS,IDLE,EI-RMD,Healthy,P3-Within Limit,Wellhead/Xmas Tree Passing,3,16,10-30 years,1.05,No risk,1,Unknown,1.05,Unknown Cement Quality,1.05,Fit for purpose,1,No,1,3.472875,Low,,,,
November,Peninsular,ANSI-A016-LS,IDLE,EI-MECH,Healthy,P3-Within Limit,SCSSV Issue,3,16,10-30 years,1.05,No risk,1,Unknown,1.05,Unknown Cement Quality,1.05,Fit for purpose,1,No,1,3.472875,Low,,,,
November,Peninsular,ANSI-A016-SS,IDLE,EI-RMD,Healthy,Intact,,2,15,10-30 years,1.05,No risk,1,Unknown,1.05,Unknown Cement Quality,1.05,Fit for purpose,1,No,1,2.31525,Low,,,,
November,Peninsular,ANSI-A017-LS,ACTIVE,Flowing,Unhealthy,P2 - Exceed Limit,Wellhead/Xmas Tree Passing,4,15,10-30 years,1.05,No risk,1,Unknown,1.05,Unknown Cement Quality,1.05,Fit for purpose,1,No,1,4.6305,High,,,,
