,occurences_total,occurences_top_10,occurences_the_rest,percent_top_10,percent_the_rest,total_titles,percent_top_10_occurences,percent_the_rest_occurences,percent_total
Warner Brothers,95728777.0,26709158.0,69019619.0,0.27900866214973163,0.7209913378502684,1370.0,26709158.0,69019619.0,0.17414392532240522
Viacom,87798035.0,27271367.0,60526668.0,0.3106147762874192,0.6893852237125808,1652.0,27271367.0,60526668.0,0.15971680543347921
Disney,75103122.0,28916442.0,46186680.0,0.3850231685441785,0.6149768314558215,778.0,28916442.0,46186680.0,0.13662299758668692
NBC Universal,68876141.0,19508658.0,49367483.0,0.28324261081932567,0.7167573891806743,1293.0,19508658.0,49367483.0,0.12529525531073538
20th Century Fox,51925253.0,13700348.0,38224905.0,0.26384749632322446,0.7361525036767755,1066.0,13700348.0,38224905.0,0.09445923852948626
Sony,44516972.0,18678818.0,25838154.0,0.4195886908031391,0.5804113091968609,1262.0,18678818.0,25838154.0,0.0809825476778796
Netflix,43627019.0,20028479.0,23598540.0,0.45908428902740295,0.540915710972597,613.0,20028479.0,23598540.0,0.07936359971229084
HBO,23040131.0,17322319.0,5717812.0,0.7518324874107704,0.24816751258922964,232.0,17322319.0,5717812.0,0.041913194527518446
Lionsgate,18706597.0,8768609.0,9937988.0,0.46874420825979196,0.531255791740208,752.0,8768609.0,9937988.0,0.034029895012701664
AMC,12804811.0,10041246.0,2763565.0,0.7841776032461549,0.2158223967538451,330.0,10041246.0,2763565.0,0.023293727554374928
Amazon,7328015.0,4017787.0,3310228.0,0.548277671374854,0.4517223286251461,122.0,4017787.0000000005,3310228.0,0.013330675862718536
A&E Networks,6312942.0,5687296.0,625646.0,0.9008947017095991,0.09910529829040089,89.0,5687296.0,625646.0,0.011484117259877618
Discovery,4227148.0,1604018.0,2623130.0,0.3794563142809289,0.6205436857190711,294.0,1604018.0,2623130.0,0.007689768622435807
Hulu,4006013.0,3539211.0,466802.0,0.8834746667072723,0.11652533329272771,45.0,3539211.0,466802.0,0.007287493380518008
MGM,3945242.0,1964363.0,1980879.0,0.49790684576510136,0.5020931542348986,400.0,1964363.0,1980879.0,0.007176942501070672
Apple TV+,1764470.0,1673384.0,91086.0,0.9483776998192092,0.05162230018079083,22.0,1673384.0,91086.0,0.003209815705820877
