,ECON101_grade,ENGLISH125_grade,DATASCI306_grade,MATH217_grade,STATS250_grade,EECS545_grade
0,E,C+,A-,B-,A,A+
1,C+,A,A-,B+,A,A+
2,D-,A-,B-,A,C-,B-
3,B+,B,C,A+,D+,A
4,A,A,A-,B+,A,A-
5,A,B-,C+,A,D-,A
6,A,A,A-,A-,A+,A
7,A,A,A-,C,A-,A-
8,A+,B,D+,B+,B+,A-
9,A-,A-,A,A+,B,A
10,B,A,A-,B,B,B+
11,B+,A,A-,A-,B,B+
12,A,A-,A,C-,B+,A
13,A-,A,A-,B-,A,B+
14,B+,A,A-,B+,A-,A
15,C,B,A-,B,B,A-
16,B+,A-,A,C-,C+,A
17,A-,A-,B,A-,B+,A-
18,B+,A,A-,A,A-,C+
19,A,A-,B,A-,B-,A
20,A-,B+,D-,A,B-,A-
21,B+,A-,B,C,A,A-
22,A,B,C+,A+,A,A
23,A,A-,A,B,A,B+
24,B,B+,B,A+,B,B+
25,A,B+,A,D,A,B-
26,B,A,A,B,A-,A-
27,B+,B+,B,B-,C+,A
28,C,A-,D,C,C,A-
29,D+,A-,B+,A,A-,A+
30,A+,A,A,B+,D,A
31,C,A+,B,B,A,B+
32,B,A-,C-,A,B+,A
33,A+,A,A+,A,A-,B
34,B,A,B,A-,B+,A-
35,C-,B,C+,C,C+,A-
36,B+,A,B+,B-,C+,B+
37,A-,A,A,A,C,B+
38,A-,A,A+,B,B,A
39,A,A-,A,A+,A+,B+
40,A,A,A,A-,B+,A
41,B+,A,B+,A-,B-,B+
42,B+,A,A-,B+,B+,A
43,A,A-,A,B+,D+,B+
44,C,A,A,C-,A,A-
45,A+,A,A-,B+,D+,A
46,A-,A,A-,C+,B-,A-
47,B,A,D,A-,B,B-
48,A,A,A,C+,B-,A
49,A,A,A-,D-,B-,C
50,A,A-,A,A-,A,A-
51,B+,B+,A,B,B+,B+
52,B+,A+,B,B-,A+,A-
53,A-,A-,A,C,A+,B+
54,A-,B,A-,B+,A+,A+
55,B+,B+,A-,C,C+,A-
56,B-,A-,B+,B,B,
57,A-,A,A,A,A,A
58,C,B+,A+,C+,E,A-
59,A,A,B-,A+,B,B+
60,C-,B+,B+,C+,A,A-
61,C,A-,B,B+,B+,A-
62,A-,A,A-,A+,C+,A+
63,A,E,D,C+,B+,A-
64,C-,A-,D+,B-,E,A
65,B+,B+,A+,A-,B-,A
66,B,A,A,C-,B+,B-
67,B+,A,A,A-,C-,A
68,B+,A,A+,A+,A,A
69,A-,A,D+,B-,B-,A-
70,A-,A-,A-,B,A+,A
71,C+,A,B,B+,A,A
72,B,A,B+,A-,A-,A
73,B+,A-,A,A-,B+,A-
74,A,A-,C,A-,C-,B+
75,B-,A,A,D+,C,A
76,C,A,A-,A-,C+,A-
77,B,A+,A,B,A-,A
78,A-,A-,A+,B,B+,A-
79,A-,A-,A-,B-,C+,B
80,A-,A+,A-,C,A-,A-
81,C,B+,B-,A-,A,A
82,A,B,B+,B-,B-,B
83,B+,A+,C-,A,C+,A
84,B+,A,C+,A-,B-,A
85,C+,A,A-,B,B-,A
86,A+,A,A+,B,A,B
87,B+,A,A-,A-,A-,B+
88,E,A,C+,A+,A-,B+
89,E,B+,A+,A,B+,A
90,B,B+,A+,A-,C+,B+
91,A-,A,B+,B,A-,A
92,C-,B+,B,A,A,A-
93,A-,A-,B,C,A+,A-
94,B,B+,A,E,A,A
95,A,A-,B,B,C,B
96,C-,A,B,A,A,A-
97,B+,B,B,A,A-,A
98,B,A-,A,C+,B+,A+
99,C+,B+,A,B,A+,A
100,B+,B,B,C+,B-,A
101,C+,A,A,A,A-,B
102,A+,A-,B+,B+,B-,B+
103,B,A,B,D-,C+,A
104,B-,A,A,A+,B+,B
