Date,Open,High,Low,Close,Volume,Market Cap
"Aug 10, 2018",63.98,64.93,58.86,59.39,259781000,3696593391
"Aug 09, 2018",62.47,65.58,61.3,63.98,270095000,3608822421
"Aug 08, 2018",68.16,68.16,62.14,62.49,313187000,3936491327
"Aug 07, 2018",74,75.23,68.13,68.17,299418000,4272623450
"Aug 06, 2018",75.06,76.59,72.79,73.89,265134000,4332627259
"Aug 05, 2018",73.38,75,72.69,74.59,265627000,4234412046
"Aug 04, 2018",77.42,77.82,72.76,73.2,262765000,4466615542
"Aug 03, 2018",76.3,77.57,74.47,77.54,298295000,4400933177
"Aug 02, 2018",77.71,78.54,75.61,76.14,285466000,4481269783
"Aug 01, 2018",80.39,80.73,76.4,77.86,301530000,4634665748
"Jul 31, 2018",82.69,82.94,76.81,79.7,319362000,4766077935
"Jul 30, 2018",84.15,84.71,80.6,82.85,313998000,4849456855
"Jul 29, 2018",84.05,85.21,83.38,84.08,276696000,4842466816
"Jul 28, 2018",84.54,84.63,82.83,83.62,279804992,4869081088
"Jul 27, 2018",83.73,85.22,82.04,84.46,358798016,4821521408
"Jul 26, 2018",86.28,88.02,83.19,84.03,286579008,4966806528
"Jul 25, 2018",88.66,89.92,85.41,86.28,310156992,5102444544
"Jul 24, 2018",82.68,89.29,81.93,89.29,440572992,4757311488
"Jul 23, 2018",83.23,86.05,82.31,82.43,296071008,4787584512
"Jul 22, 2018",84.26,84.63,82.87,83.16,245916992,4845894144
"Jul 21, 2018",82.66,85.25,80.67,84.46,246152992,4752437760
"Jul 20, 2018",86.68,86.68,82.42,82.75,287448000,4982581760
"Jul 19, 2018",86.9,88.83,85.79,86.67,307785984,4993766400
"Jul 18, 2018",89.82,93.65,86.03,86.96,375428992,5160439296
"Jul 17, 2018",84.3,90.31,83,89.81,341836000,4842040320
"Jul 16, 2018",78.96,84.6,78.21,84.6,307904000,4533967872
"Jul 15, 2018",76.7,79.65,76.02,78.94,230467008,4403316224
"Jul 14, 2018",76.97,77.54,76.18,76.72,197776000,4417607680
"Jul 13, 2018",77.29,78.43,76.11,76.94,256038000,4434774016
"Jul 12, 2018",78.59,78.59,75.31,76.81,267396992,4508378112
"Jul 11, 2018",76.13,80.8,76.07,78.7,284915008,4365966336
"Jul 10, 2018",80.78,80.88,75.38,76.08,321614016,4631732736
"Jul 09, 2018",82.54,83.26,80.75,80.86,263326000,4731466752
"Jul 08, 2018",86.26,86.68,82.18,82.4,239655008,4943294976
"Jul 07, 2018",83.4,86.2,80.7,86.2,238936992,4778263040
"Jul 06, 2018",83.84,84.6,81.32,83.38,253160000,4801846272
"Jul 05, 2018",85.65,86.67,82.54,83.76,306121984,4904713728
"Jul 04, 2018",85.17,89.12,84.02,85.49,282222016,4876069888
"Jul 03, 2018",85.39,89.28,84.73,85.1,343900992,4887240704
"Jul 02, 2018",80.27,86.27,78.69,85.26,302471008,4593142272
"Jul 01, 2018",81.5,81.61,78.36,80.24,343401984,4662743552
"Jun 30, 2018",78.95,83.24,78.95,81.37,276550016,4515206656
"Jun 29, 2018",74.81,80.18,73.17,78.77,309339008,4277417216
"Jun 28, 2018",80.63,81.04,74.44,74.93,263414000,4608938496
"Jun 27, 2018",76.93,81.34,75.86,80.66,274128000,4396791808
"Jun 26, 2018",81.82,82.5,76.85,76.87,258432992,4674782720
"Jun 25, 2018",80.37,86.07,79.02,81.83,458366016,4590839808
"Jun 24, 2018",82.74,83.39,74.29,80.78,449884992,4725186560
"Jun 23, 2018",85.09,86.36,81.64,82.6,439203008,4858417664
"Jun 22, 2018",96.94,97.12,81.4,85.08,458636992,5533548544
"Jun 21, 2018",97.88,98.87,96.36,96.93,261544000,5585768960
"Jun 20, 2018",98.96,99.2,95.97,97.99,261392000,5645734400
"Jun 19, 2018",98.73,100.82,97.4,98.84,284982016,5631285760
"Jun 18, 2018",95.77,99.81,93.91,98.82,282937984,5461458944
"Jun 17, 2018",97.72,98.66,95.53,96.1,242331008,5570892288
"Jun 16, 2018",96.58,98.35,93.97,97.58,259324992,5504581632
"Jun 15, 2018",101.11,101.11,95.6,96.68,293284992,5761815040
"Jun 14, 2018",93.99,102.42,93.61,101.15,367742016,5354696192
"Jun 13, 2018",100.8,100.95,91.29,94.08,360492992,5740973056
"Jun 12, 2018",107.43,108.06,99.37,100.75,333163008,6116838912
"Jun 11, 2018",106.54,108.85,104.12,107.52,331430016,6064930304
"Jun 10, 2018",117.56,117.56,104.08,107.04,399889984,6690695168
"Jun 09, 2018",120.11,121.03,117.74,117.74,242235008,6833842176
"Jun 08, 2018",121.52,121.95,118.71,120.08,285831008,6912172032
"Jun 07, 2018",121.34,123.18,119.62,121.43,365670016,6900218368
"Jun 06, 2018",121.89,122.14,118.56,121.18,324158016,6929526784
"Jun 05, 2018",119.9,122.01,116.44,121.7,300892000,6814303232
"Jun 04, 2018",125.21,126.33,118.73,119.9,299780992,7114600448
"Jun 03, 2018",123.29,127.37,122.37,125.5,322787008,7003429888
"Jun 02, 2018",119.83,123.89,118.96,123.31,310800000,6805428736
"Jun 01, 2018",118.03,120.2,117.12,119.92,290886016,6701526528
"May 31, 2018",117.32,120.59,116.64,118.07,297183008,6659586560
"May 30, 2018",119.54,122.38,116.02,117.53,305275008,6784175616
"May 29, 2018",111.84,121.96,110.9,119.57,350520000,6345820160
"May 28, 2018",117.93,119.08,111.48,111.6,295723008,6689479168
"May 27, 2018",118.5,118.85,116.99,117.99,258727008,6720324608
"May 26, 2018",119.35,122.25,117.87,118.28,275851008,6766695936
"May 25, 2018",122.56,124.2,117.82,119.44,297743008,6946967040
"May 24, 2018",119.19,124.37,115.89,122.61,345857984,6754483200
"May 23, 2018",128.81,129.33,117.35,119.31,373329984,7297186816
"May 22, 2018",134.26,135.6,128.33,128.68,294447008,7604067840
"May 21, 2018",139.64,139.64,133.93,134.51,308376992,7906982400
"May 20, 2018",135.27,140.32,133.79,139.7,324983008,7657331200
"May 19, 2018",135.96,137.5,133.87,135.32,310963008,7694739968
"May 18, 2018",132.7,137.05,129.7,136.06,371688000,7508241408
"May 17, 2018",139.56,141.17,131.95,132.77,320248992,7894057472
"May 16, 2018",139.65,140.65,135.28,139.27,351689984,7897015296
"May 15, 2018",147.49,149.38,138.57,139.88,415984992,8338178048
"May 14, 2018",144.62,152.15,136.07,147.71,584222016,8174197248
"May 13, 2018",141.8,147.25,137.65,144.59,383224000,8012235776
"May 12, 2018",137.26,144.42,132.59,141.88,410184992,7753639424
"May 11, 2018",149.45,149.45,134.73,137.12,530416000,8439917568
"May 10, 2018",157.15,160.34,149.34,149.87,426694016,8872743936
"May 09, 2018",159.62,159.62,152.6,157.05,448136000,9009637376
"May 08, 2018",164.83,167.98,158.16,159.62,466308992,9301440512
"May 07, 2018",171.76,171.92,158.93,164.88,573281024,9689920512
"May 06, 2018",178.02,182.88,166.18,171.8,626270016,10040364032
"May 05, 2018",168.35,181.63,168.35,177.76,741246016,9492240384
"May 04, 2018",160.47,170.38,157.94,168.79,633054976,9045432320
"May 03, 2018",151.86,164,151.01,161.46,617984000,8557951488
"May 02, 2018",148.45,152.89,146.98,151.58,354656992,8363527680
"May 01, 2018",148.34,148.54,143.94,148.49,342152000,8355631616
"Apr 30, 2018",153.65,154.08,147.87,148.48,341396992,8651813888
"Apr 29, 2018",152.16,155.62,148.9,153.63,388081984,8566101504
"Apr 28, 2018",145.74,153.33,145.74,152.3,337116992,8202219520
"Apr 27, 2018",153.44,153.62,145.9,145.9,386742016,8633465856
"Apr 26, 2018",144.7,153.82,142.64,153.68,412436992,8139352064
"Apr 25, 2018",165.09,165.09,142.59,144.76,613467008,9284025344
"Apr 24, 2018",152.57,165.94,152.57,165.78,643558016,8578016256
"Apr 23, 2018",146.67,152.77,146.67,152.25,376060000,8243878912
"Apr 22, 2018",148.61,152.23,145.31,146.77,338735008,8350284288
"Apr 21, 2018",155.68,156.61,142.18,148.93,482924000,8745564160
"Apr 20, 2018",146.5,155.72,143.84,155.54,491945984,8227476992
"Apr 19, 2018",140.04,146.87,138.96,146.3,408736000,7862482432
"Apr 18, 2018",132.38,140.85,132.38,140,381161984,7430166016
"Apr 17, 2018",128.71,139.65,128.71,132.93,532336000,7222476288
"Apr 16, 2018",131.97,132.63,125.24,128.34,290855008,7403396096
"Apr 15, 2018",126.67,132.04,126.67,132.04,274427008,7104121344
"Apr 14, 2018",125.22,129.34,124.77,126.29,258806000,7021249024
"Apr 13, 2018",129.27,133.04,124.06,125.35,458040000,7246455296
"Apr 12, 2018",118.29,129.34,113.55,129.34,587510976,6629029376
"Apr 11, 2018",114.29,119.09,113.33,118.29,230068992,6403269632
"Apr 10, 2018",115.21,115.4,112.52,114.26,202879008,6453325312
"Apr 09, 2018",117.78,122.43,113.32,114.99,260171008,6595641344
"Apr 08, 2018",116.29,118.55,115.95,117.67,194664000,6510417408
"Apr 07, 2018",113.14,119.38,113.1,116.26,211470000,6332129280
"Apr 06, 2018",118.82,119.93,112.79,113.15,233190000,6648252928
"Apr 05, 2018",118.21,121.29,114.47,119.13,294022016,6612513280
"Apr 04, 2018",133.91,134.61,116.58,118.41,380351008,7488695296
"Apr 03, 2018",119.51,136.45,118.58,134.47,375408992,6681652736
"Apr 02, 2018",115.24,121.42,114.72,119.31,271703008,6441123840
"Apr 01, 2018",116.9,117.83,110.52,115.22,274182016,6532612096
"Mar 31, 2018",118.64,123.87,116.18,116.61,295439008,6627587584
"Mar 30, 2018",114.8,124.9,110.26,118.6,468439008,6411740672
"Mar 29, 2018",131.93,132.61,113.93,114.68,476804000,7365946880
"Mar 28, 2018",135.49,140.13,131.03,131.75,328374016,7563032576
"Mar 27, 2018",148.96,149.62,135.78,135.78,385104000,8312704000
"Mar 26, 2018",160.16,160.99,143.12,149.22,407135008,8935555072
"Mar 25, 2018",158.86,162.72,157.52,160.08,241431008,8860500992
"Mar 24, 2018",168.53,168.65,159.63,159.63,290270016,9397289984
"Mar 23, 2018",163.58,167.83,157.26,167.83,348056000,9118936064
"Mar 22, 2018",168.72,172.31,161.11,163.67,404996992,9403215872
"Mar 21, 2018",169.56,175.26,166.62,169.05,462536000,9447222272
"Mar 20, 2018",161.52,173.3,156.82,168.82,492892000,8997259264
"Mar 19, 2018",155.48,163.05,151.66,161.14,504832992,8658187264
"Mar 18, 2018",152.54,156.15,138.02,154.07,595955008,8492466176
"Mar 17, 2018",165.19,165.22,151.06,152.97,403808992,9194361856
"Mar 16, 2018",164.82,171.26,158.99,165.45,436628000,9171156992
"Mar 15, 2018",161.2,167.33,151.48,164.48,564609024,8967723008
"Mar 14, 2018",175.94,177.55,158.63,161.1,480652992,9785034752
"Mar 13, 2018",177.6,181.87,172.26,175.78,468094016,9874531328
"Mar 12, 2018",189.02,193.34,175.88,178.23,567628992,10506665984
"Mar 11, 2018",177.51,193.48,172.47,188.95,669377984,9864710144
"Mar 10, 2018",188.11,194.65,176.54,177.73,625808000,10450964480
"Mar 09, 2018",176.48,189.91,160.43,187.17,943363968,9802407936
"Mar 08, 2018",185.7,188.15,176.17,176.51,612508992,10311636992
"Mar 07, 2018",196.83,199.27,175.65,185.84,755924992,10926503936
"Mar 06, 2018",210.51,210.51,193.16,196.6,661078016,11683020800
