Day,Description,High / Low,Precip,Wind,Humidity
Today 3 MAY,Rain,13 / 8,100 %,SSE 16 km/h ,84 %
Sat 4 MAY,AM Clouds / PM Sun,15 / 6,10 %,NNW 12 km/h ,70 %
Sun 5 MAY,AM Clouds / PM Sun,18 / 8,10 %,SSE 12 km/h ,59 %
Mon 6 MAY,Partly Cloudy,19 / 8,20 %,SW 13 km/h ,56 %
Tue 7 MAY,Showers,12 / 7,40 %,N 13 km/h ,63 %
Wed 8 MAY,Showers,14 / 7,40 %,N 16 km/h ,55 %
Thu 9 MAY,Showers,13 / 6,40 %,N 12 km/h ,57 %
Fri 10 MAY,AM Showers,12 / 6,40 %,NE 16 km/h ,58 %
Sat 11 MAY,Cloudy,13 / 7,20 %,WNW 12 km/h ,59 %
Sun 12 MAY,Showers,14 / 8,40 %,SSW 14 km/h ,60 %
Mon 13 MAY,AM Showers,16 / 8,40 %,SSW 15 km/h ,59 %
Tue 14 MAY,Partly Cloudy,15 / 9,20 %,NW 16 km/h ,56 %
Wed 15 MAY,Partly Cloudy,16 / 8,20 %,WNW 15 km/h ,56 %
Thu 16 MAY,Showers,16 / 9,40 %,W 14 km/h ,54 %
Fri 17 MAY,Showers,18 / 10,40 %,W 15 km/h ,54 %
