                 0txt      0zip         1        10       100      1000  \
11-0.txt     0.000034  0.000034  0.000067       NaN       NaN       NaN   
84-0.txt     0.000013  0.000013  0.000077  0.000026       NaN       NaN   
1342-0.txt   0.000008  0.000008  0.000024  0.000016       NaN       NaN   
1661-0.txt   0.000009  0.000009  0.000028  0.000028  0.000028  0.000074   
1952-0.txt   0.000108  0.000108  0.000216       NaN       NaN       NaN   
pg16328.txt       NaN       NaN  0.001964  0.001219  0.000113       NaN   

                 1005      1009       101       102       103       104  \
11-0.txt          NaN       NaN       NaN       NaN       NaN       NaN   
84-0.txt          NaN       NaN       NaN       NaN       NaN       NaN   
1342-0.txt        NaN       NaN       NaN       NaN       NaN       NaN   
1661-0.txt        NaN       NaN       NaN       NaN       NaN       NaN   
1952-0.txt        NaN       NaN       NaN       NaN       NaN       NaN   
pg16328.txt  0.000023  0.000023  0.000023  0.000023  0.000045  0.000023   

                 105       106       107      1084       109      1098  \
11-0.txt         NaN       NaN       NaN       NaN       NaN       NaN   
84-0.txt         NaN       NaN       NaN       NaN       NaN       NaN   
1342-0.txt       NaN       NaN       NaN       NaN       NaN       NaN   
1661-0.txt       NaN       NaN       NaN       NaN       NaN       NaN   
1952-0.txt       NaN       NaN       NaN       NaN       NaN       NaN   
pg16328.txt  0.00009  0.000045  0.000023  0.000023  0.000045  0.000023   

                 10th        11       110      1100      1110      1115  \
11-0.txt          NaN  0.000101       NaN       NaN       NaN       NaN   
84-0.txt          NaN  0.000026       NaN       NaN       NaN       NaN   
1342-0.txt        NaN  0.000008       NaN       NaN       NaN       NaN   
1661-0.txt   0.000009       NaN       NaN  0.000009       NaN  0.000028   
1952-0.txt        NaN       NaN       NaN       NaN       NaN       NaN   
pg16328.txt       NaN  0.000113  0.000068       NaN  0.000023       NaN   

                 1118      1130       115       117      1192      11th  \
11-0.txt          NaN       NaN       NaN       NaN       NaN       NaN   
84-0.txt          NaN       NaN       NaN       NaN       NaN  0.000026   
1342-0.txt        NaN       NaN       NaN       NaN       NaN       NaN   
1661-0.txt        NaN  0.000009       NaN  0.000018       NaN       NaN   
1952-0.txt        NaN       NaN       NaN       NaN       NaN       NaN   
pg16328.txt  0.000023  0.000023  0.000023       NaN  0.000023       NaN   

                   12       120      1247       125      1281      12th  \
11-0.txt          NaN       NaN       NaN       NaN       NaN       NaN   
84-0.txt     0.000026       NaN       NaN       NaN       NaN  0.000026   
1342-0.txt   0.000008       NaN       NaN       NaN       NaN       NaN   
